CountyName,LocationID,TotalPopulation,Checkups,Depression,Disability,Food_Insecurity,Food_Stamps,Housing_Insecure,Insurance_Gap,Loneliness,Transport_Barriers,Utility_Threat
Alexandria,51510200407,3921,81.2,19.2,27.0,10.1,7.4,9.2,7.3,32.0,5.9,5.8
Alexandria,51510200408,2713,75.1,21.0,26.0,17.2,13.6,15.5,10.6,37.6,9.6,9.8
Alexandria,51510200409,6318,76.0,22.0,28.9,19.1,16.5,16.2,10.8,36.7,10.4,10.8
Alexandria,51510200500,4650,75.9,22.7,27.5,16.3,13.7,14.5,9.7,36.8,9.5,9.6
Alexandria,51510200600,4731,78.2,20.1,26.1,12.5,9.3,11.3,8.9,33.6,7.0,7.1
Alexandria,51510200701,951,72.2,24.0,17.8,7.1,4.9,7.8,5.8,34.4,5.0,4.8
Alexandria,51510200703,3494,78.2,21.8,20.7,6.8,5.0,7.0,5.0,31.2,4.6,4.6
Alexandria,51510200704,2906,73.7,22.4,18.7,7.5,5.2,7.9,5.9,33.7,5.1,4.9
Alexandria,51510200705,2597,78.8,21.1,20.2,4.8,3.2,5.0,4.3,29.5,3.6,3.3
Alexandria,51510200801,2701,80.4,20.5,23.4,6.5,4.4,6.1,5.9,29.6,4.1,3.8
Alexandria,51510200802,2991,76.5,22.9,26.5,13.4,10.9,11.6,9.2,34.1,7.6,7.4
Alexandria,51510200900,5078,80.5,20.7,19.8,4.3,2.8,4.4,3.8,27.8,3.1,2.9
Alexandria,51510201000,2831,78.6,23.0,19.6,5.3,3.7,5.6,4.4,29.6,3.8,3.7
Alexandria,51510201100,3388,78.3,21.8,25.5,9.8,7.6,8.4,8.2,30.0,5.7,5.5
Alexandria,51510201202,3429,76.3,21.5,18.2,5.7,3.8,6.3,5.2,30.6,4.0,3.9
Alexandria,51510201204,2878,75.7,21.7,22.1,9.3,6.6,9.2,7.8,33.2,5.6,5.5
Alexandria,51510201205,2568,72.6,22.1,27.4,18.2,13.4,16.0,15.4,37.3,9.7,9.0
