CountyName,LocationID,TotalPopulation,Checkups,Depression,Disability,Food_Insecurity,Food_Stamps,Housing_Insecure,Insurance_Gap,Loneliness,Transport_Barriers,Utility_Threat,Low_Checkups,Healthcare_Desert_Score,Score_EqualWeights,Risk_Tier
Albemarle,51003011301,5127,79.6,22.0,27.1,7.6,5.7,7.2,6.1,31.4,4.8,4.5,20.400000000000006,11.64,10.96,LOW
Albemarle,51003011302,5151,72.3,23.3,27.4,16.3,12.6,13.5,11.4,38.2,9.5,8.3,27.700000000000003,18.08,17.19,MODERATE
Albemarle,51003011303,3791,76.8,22.5,24.0,8.3,6.2,8.0,6.3,32.8,5.4,5.0,23.200000000000003,12.69,11.9,LOW
Albemarle,51003011400,4130,80.2,22.1,31.7,11.2,9.2,9.5,7.7,32.9,6.4,6.1,19.799999999999997,13.27,12.85,LOW
Alexandria,51510200102,5043,74.6,20.2,29.3,19.3,14.1,16.1,15.8,36.6,9.9,9.3,25.400000000000006,19.48,18.31,HIGH
Alexandria,51510200104,4095,72.6,23.1,31.4,24.7,20.3,20.8,17.1,39.4,13.1,12.8,27.400000000000006,22.6,21.95,CRITICAL
Alexandria,51510200105,4065,76.8,20.8,29.3,20.4,17.5,17.8,10.4,38.5,11.0,11.7,23.200000000000003,18.63,18.81,MODERATE
Alexandria,51510200106,3392,80.3,19.0,32.8,12.3,9.1,10.2,11.3,33.8,6.8,6.1,19.700000000000003,14.52,13.66,LOW
Alexandria,51510200108,1667,78.7,20.1,26.6,15.4,12.9,13.6,8.4,34.9,8.5,9.1,21.299999999999997,15.57,15.51,LOW
Alexandria,51510200109,5794,76.5,20.2,29.8,20.5,16.6,17.5,13.5,36.5,10.6,11.0,23.5,19.13,18.71,HIGH
Alexandria,51510200110,2614,76.0,21.5,17.0,6.5,4.4,7.6,5.1,32.9,4.6,4.7,24.0,12.08,11.22,LOW
Alexandria,51510200111,3909,74.3,22.9,23.5,12.8,9.7,12.3,8.6,36.8,7.7,7.5,25.700000000000003,15.84,15.14,LOW
Alexandria,51510200201,3505,77.2,22.4,23.4,9.5,7.2,9.0,6.7,32.9,6.0,5.9,22.799999999999997,13.16,12.5,LOW
Alexandria,51510200202,1698,82.3,19.6,21.1,4.0,2.6,4.2,3.6,27.0,3.0,2.9,17.700000000000003,8.76,8.12,LOW
Alexandria,51510200301,3333,75.1,22.1,26.0,15.2,12.2,13.9,9.6,36.1,8.7,8.9,24.900000000000006,16.69,16.19,MODERATE
Alexandria,51510200302,4452,76.9,20.4,27.6,14.0,10.1,12.2,11.7,35.2,7.6,7.0,23.099999999999994,16.09,15.11,MODERATE
Alexandria,51510200304,2825,79.2,21.4,33.1,18.5,16.6,15.1,10.2,35.7,10.2,10.5,20.799999999999997,17.04,17.2,MODERATE
Alexandria,51510200305,2426,80.2,19.1,26.2,12.0,9.2,11.2,8.1,33.6,6.8,7.0,19.799999999999997,13.84,13.46,LOW
Alexandria,51510200403,1410,75.7,21.0,18.2,7.5,5.1,8.1,5.2,33.0,5.0,5.2,24.299999999999997,12.47,11.68,LOW
Alexandria,51510200404,3694,80.1,20.3,18.4,4.6,3.0,5.0,3.8,28.4,3.4,3.3,19.900000000000006,9.65,8.93,LOW
Alexandria,51510200406,4949,77.5,19.4,22.9,12.0,8.7,12.2,8.0,35.2,7.1,7.5,22.5,14.66,14.15,LOW
Alexandria,51510200407,3921,81.2,19.2,27.0,10.1,7.4,9.2,7.3,32.0,5.9,5.8,18.799999999999997,12.54,12.06,LOW
Alexandria,51510200408,2713,75.1,21.0,26.0,17.2,13.6,15.5,10.6,37.6,9.6,9.8,24.900000000000006,17.77,17.35,MODERATE
Alexandria,51510200409,6318,76.0,22.0,28.9,19.1,16.5,16.2,10.8,36.7,10.4,10.8,24.0,18.18,18.06,MODERATE
Alexandria,51510200500,4650,75.9,22.7,27.5,16.3,13.7,14.5,9.7,36.8,9.5,9.6,24.099999999999994,17.03,16.77,MODERATE
Alexandria,51510200600,4731,78.2,20.1,26.1,12.5,9.3,11.3,8.9,33.6,7.0,7.1,21.799999999999997,14.56,13.94,LOW
Alexandria,51510200701,951,72.2,24.0,17.8,7.1,4.9,7.8,5.8,34.4,5.0,4.8,27.799999999999997,13.34,12.2,LOW
Alexandria,51510200703,3494,78.2,21.8,20.7,6.8,5.0,7.0,5.0,31.2,4.6,4.6,21.799999999999997,11.44,10.75,LOW
Alexandria,51510200704,2906,73.7,22.4,18.7,7.5,5.2,7.9,5.9,33.7,5.1,4.9,26.299999999999997,13.09,12.06,LOW
Alexandria,51510200705,2597,78.8,21.1,20.2,4.8,3.2,5.0,4.3,29.5,3.6,3.3,21.200000000000003,10.2,9.36,LOW
Alexandria,51510200801,2701,80.4,20.5,23.4,6.5,4.4,6.1,5.9,29.6,4.1,3.8,19.599999999999994,10.8,10.0,LOW
Alexandria,51510200802,2991,76.5,22.9,26.5,13.4,10.9,11.6,9.2,34.1,7.6,7.4,23.5,15.33,14.71,LOW
Alexandria,51510200900,5078,80.5,20.7,19.8,4.3,2.8,4.4,3.8,27.8,3.1,2.9,19.5,9.34,8.57,LOW
Alexandria,51510201000,2831,78.6,23.0,19.6,5.3,3.7,5.6,4.4,29.6,3.8,3.7,21.400000000000006,10.48,9.69,LOW
Alexandria,51510201100,3388,78.3,21.8,25.5,9.8,7.6,8.4,8.2,30.0,5.7,5.5,21.700000000000003,12.98,12.11,LOW
Alexandria,51510201202,3429,76.3,21.5,18.2,5.7,3.8,6.3,5.2,30.6,4.0,3.9,23.700000000000003,11.42,10.4,LOW
Alexandria,51510201204,2878,75.7,21.7,22.1,9.3,6.6,9.2,7.8,33.2,5.6,5.5,24.299999999999997,13.68,12.69,LOW
Alexandria,51510201205,2568,72.6,22.1,27.4,18.2,13.4,16.0,15.4,37.3,9.7,9.0,27.400000000000006,19.61,18.3,HIGH
Alexandria,51510201206,5710,70.2,22.0,36.3,32.1,25.0,25.6,28.1,40.1,15.3,14.2,29.799999999999997,28.07,26.28,CRITICAL
Alexandria,51510201300,4004,77.1,22.5,18.2,5.1,3.5,5.6,4.2,29.7,3.7,3.7,22.900000000000006,10.69,9.8,LOW
Alexandria,51510201400,4158,77.3,22.7,20.3,6.2,4.3,6.5,5.5,30.3,4.2,4.1,22.700000000000003,11.41,10.48,LOW
Alexandria,51510201500,3835,79.9,21.2,22.4,5.4,3.7,5.3,4.8,28.7,3.7,3.4,20.099999999999994,10.19,9.39,LOW
Alexandria,51510201601,3347,76.7,23.0,20.7,7.3,5.6,7.3,5.1,31.4,4.9,4.9,23.299999999999997,11.96,11.22,LOW
Alexandria,51510201602,3220,74.1,24.3,22.8,11.5,9.5,10.7,7.4,34.7,7.1,7.1,25.900000000000006,14.91,14.24,LOW
Alexandria,51510201802,2084,82.4,21.7,27.6,8.8,7.5,7.5,5.4,28.8,5.4,5.4,17.599999999999994,11.05,10.8,LOW
Alexandria,51510201803,2393,77.0,22.6,17.9,4.8,3.2,5.5,4.2,30.0,3.6,3.5,23.0,10.65,9.72,LOW
Alexandria,51510201804,3710,75.8,21.6,17.8,6.4,4.3,6.9,4.9,31.8,4.5,4.4,24.200000000000003,11.83,10.92,LOW
Alexandria,51510201805,3383,81.6,20.8,24.0,6.0,4.5,5.5,4.8,28.8,4.0,3.7,18.400000000000006,10.05,9.46,LOW
Alexandria,51510201900,1798,77.9,22.9,20.7,5.4,3.9,5.6,4.5,29.8,4.0,3.8,22.099999999999994,10.71,9.89,LOW
Alexandria,51510202001,2379,82.0,20.3,21.0,3.7,2.5,3.8,3.5,26.9,2.8,2.5,18.0,8.65,7.96,LOW
Alexandria,51510202002,2430,79.4,21.6,21.5,4.9,3.2,5.1,4.5,29.7,3.7,3.3,20.599999999999994,10.18,9.38,LOW
Alleghany,51005070100,3662,81.1,25.5,42.1,18.2,18.2,12.6,10.1,34.4,9.7,9.2,18.900000000000006,16.13,16.41,MODERATE
Alleghany,51005080100,3198,81.0,23.9,38.5,13.1,11.5,9.6,8.7,33.7,7.2,6.5,19.0,13.94,13.66,LOW
Alleghany,51005080201,2790,80.7,24.5,34.7,11.0,9.3,8.8,7.4,33.1,6.5,6.0,19.299999999999997,13.01,12.68,LOW
Alleghany,51005080202,2381,80.9,24.5,37.7,12.2,10.7,9.3,8.2,33.3,6.9,6.3,19.099999999999994,13.55,13.25,LOW
Alleghany,51005080301,1854,80.3,24.5,35.7,11.3,9.5,8.9,7.9,33.2,6.5,5.9,19.700000000000003,13.29,12.86,LOW
Alleghany,51005080302,1338,80.6,24.5,36.8,11.9,10.4,9.1,8.1,33.0,6.7,6.2,19.400000000000006,13.45,13.1,LOW
Amelia,51007930101,2634,80.5,23.2,35.6,14.8,13.2,11.7,8.9,33.2,8.2,7.9,19.5,14.78,14.68,LOW
Amelia,51007930102,4475,80.1,24.2,40.2,19.8,19.6,14.2,10.7,34.0,10.4,10.1,19.900000000000006,17.05,17.34,MODERATE
Amelia,51007930200,6156,80.5,22.9,37.2,16.1,14.6,12.5,9.6,33.8,8.7,8.4,19.5,15.44,15.4,LOW
Amherst,51009010100,5103,80.7,23.2,36.7,14.7,13.5,10.9,9.0,30.8,8.1,7.6,19.299999999999997,14.41,14.24,LOW
Amherst,51009010201,4398,80.5,23.7,36.0,14.0,12.0,10.6,8.4,33.4,8.2,7.0,19.5,14.32,14.14,LOW
Amherst,51009010202,2223,80.0,23.4,35.1,14.4,12.7,11.4,8.9,31.7,8.0,7.6,20.0,14.58,14.34,LOW
Amherst,51009010300,3638,80.6,22.7,31.7,9.7,7.9,8.3,6.7,29.9,5.9,5.5,19.400000000000006,12.14,11.66,LOW
Amherst,51009010401,3356,78.6,24.8,38.1,19.0,18.3,14.5,10.4,33.2,10.4,10.3,21.400000000000006,17.05,17.19,MODERATE
