CountyName,LocationID,TotalPopulation,Short_Question_Text,Data_Value,Measure_Name
Chesterfield,51041100805,5369,Annual Checkup,79.0,Checkups
Bedford,51019030401,2925,Annual Checkup,81.3,Checkups
Bedford,51019030404,3480,Annual Checkup,79.4,Checkups
Chesterfield,51041100902,3978,Annual Checkup,81.1,Checkups
Fairfax,51059421300,3658,Annual Checkup,78.0,Checkups
Arlington,51013102802,1317,Annual Checkup,78.4,Checkups
Fairfax,51059421002,5348,Annual Checkup,75.8,Checkups
Clarke,51043010102,4170,Annual Checkup,80.6,Checkups
Buckingham,51029930201,5526,Annual Checkup,78.0,Checkups
Chesterfield,51041100915,4171,Annual Checkup,79.5,Checkups
Bedford,51019030602,3610,Annual Checkup,79.4,Checkups
Campbell,51031020102,4635,Annual Checkup,79.9,Checkups
Cumberland,51049930101,3283,Annual Checkup,80.3,Checkups
Arlington,51013102702,1912,Annual Checkup,74.4,Checkups
Arlington,51013102100,2325,Annual Checkup,81.6,Checkups
Clarke,51043010200,3118,Annual Checkup,81.0,Checkups
Botetourt,51023040200,4219,Annual Checkup,80.0,Checkups
Albemarle,51003010402,3605,Annual Checkup,83.6,Checkups
Chesterfield,51041100704,5116,Annual Checkup,79.5,Checkups
Augusta,51015071202,4170,Annual Checkup,81.6,Checkups
Arlington,51013102400,3617,Annual Checkup,74.9,Checkups
Fairfax,51059420503,3505,Annual Checkup,74.7,Checkups
Fairfax,51059421103,5913,Annual Checkup,78.8,Checkups
Fairfax,51059415401,5352,Annual Checkup,74.9,Checkups
Carroll,51035080603,2511,Annual Checkup,80.3,Checkups
Fairfax,51059416300,2025,Annual Checkup,79.7,Checkups
Amherst,51009010401,3356,Annual Checkup,78.6,Checkups
Chesterfield,51041100937,4252,Annual Checkup,80.1,Checkups
Chesterfield,51041100814,3935,Annual Checkup,77.3,Checkups
Bedford,51019030503,2439,Annual Checkup,85.5,Checkups
Accomack,51001090102,1545,Annual Checkup,83.0,Checkups
Arlington,51013103700,2626,Annual Checkup,80.4,Checkups
Arlington,51013101602,1654,Annual Checkup,74.4,Checkups
Culpeper,51047930400,5143,Annual Checkup,78.4,Checkups
Charles City,51036600200,2180,Annual Checkup,82.8,Checkups
Arlington,51013101704,1990,Annual Checkup,73.3,Checkups
Caroline,51033030502,6450,Annual Checkup,78.3,Checkups
Chesterfield,51041101014,2703,Annual Checkup,80.0,Checkups
Campbell,51031020200,5655,Annual Checkup,79.3,Checkups
Bedford,51019030604,2595,Annual Checkup,78.2,Checkups
Augusta,51015070100,3973,Annual Checkup,77.2,Checkups
Amherst,51009010600,2687,Annual Checkup,79.9,Checkups
Arlington,51013103405,3874,Annual Checkup,75.6,Checkups
Accomack,51001090201,3990,Annual Checkup,82.9,Checkups
Albemarle,51003011000,6612,Annual Checkup,82.8,Checkups
Arlington,51013101401,1938,Annual Checkup,71.0,Checkups
Cumberland,51049930200,3463,Annual Checkup,81.0,Checkups
Campbell,51031020900,3588,Annual Checkup,81.1,Checkups
Arlington,51013101804,2215,Annual Checkup,72.8,Checkups
Chesterfield,51041100929,6532,Annual Checkup,80.1,Checkups
Fairfax,51059420400,3835,Annual Checkup,72.7,Checkups
Arlington,51013101501,3136,Annual Checkup,72.6,Checkups
Culpeper,51047930204,1520,Annual Checkup,81.7,Checkups
Dinwiddie,51053840200,4449,Annual Checkup,80.3,Checkups
Alleghany,51005080301,1854,Annual Checkup,80.3,Checkups
Arlington,51013101405,2176,Annual Checkup,74.2,Checkups
Alleghany,51005080302,1338,Annual Checkup,80.6,Checkups
Buchanan,51027010300,2852,Annual Checkup,80.0,Checkups
Brunswick,51025930302,3319,Annual Checkup,82.4,Checkups
Fairfax,51059420700,4241,Annual Checkup,77.9,Checkups
Augusta,51015070900,5176,Annual Checkup,81.7,Checkups
Arlington,51013101900,3183,Annual Checkup,76.8,Checkups
Charles City,51036600300,2010,Annual Checkup,83.9,Checkups
Carroll,51035080601,1846,Annual Checkup,80.4,Checkups
Bedford,51019030202,6024,Annual Checkup,79.7,Checkups
Amherst,51009010506,1585,Annual Checkup,79.2,Checkups
Amherst,51009010100,5103,Annual Checkup,80.7,Checkups
Culpeper,51047930203,6844,Annual Checkup,77.8,Checkups
Cumberland,51049930102,2929,Annual Checkup,80.5,Checkups
Albemarle,51003011101,2884,Annual Checkup,80.4,Checkups
Bedford,51019030501,4190,Annual Checkup,78.7,Checkups
Chesterfield,51041100405,2257,Annual Checkup,75.7,Checkups
Bedford,51019030300,3620,Annual Checkup,80.7,Checkups
Chesterfield,51041100705,2948,Annual Checkup,79.9,Checkups
Arlington,51013103504,2571,Annual Checkup,73.1,Checkups
Chesterfield,51041100931,5845,Annual Checkup,81.9,Checkups
Albemarle,51003010201,5550,Annual Checkup,80.1,Checkups
Fairfax,51059421400,8188,Annual Checkup,73.6,Checkups
Campbell,51031020401,5253,Annual Checkup,78.7,Checkups
Augusta,51015070702,2250,Annual Checkup,80.1,Checkups
Buckingham,51029930102,2927,Annual Checkup,82.1,Checkups
Augusta,51015071000,5968,Annual Checkup,79.6,Checkups
Arlington,51013100200,6660,Annual Checkup,79.7,Checkups
Augusta,51015070500,5189,Annual Checkup,80.5,Checkups
Fairfax,51059421102,3514,Annual Checkup,79.4,Checkups
Albemarle,51003011202,4043,Annual Checkup,81.2,Checkups
Arlington,51013101300,6940,Annual Checkup,76.7,Checkups
Botetourt,51023040304,3908,Annual Checkup,81.0,Checkups
Fairfax,51059415200,3218,Annual Checkup,79.1,Checkups
Botetourt,51023040402,5030,Annual Checkup,80.5,Checkups
Chesterfield,51041100406,1451,Annual Checkup,79.7,Checkups
Chesterfield,51041100510,3871,Annual Checkup,78.2,Checkups
Chesterfield,51041100804,5085,Annual Checkup,80.2,Checkups
Bedford,51019030204,4365,Annual Checkup,79.1,Checkups
Chesterfield,51041100404,2532,Annual Checkup,74.9,Checkups
Chesterfield,51041100938,7835,Annual Checkup,78.4,Checkups
Caroline,51033030201,2870,Annual Checkup,79.5,Checkups
Arlington,51013101701,5507,Annual Checkup,70.9,Checkups
Augusta,51015070801,2293,Annual Checkup,82.4,Checkups
Albemarle,51003011102,3286,Annual Checkup,79.5,Checkups
Albemarle,51003010802,2404,Annual Checkup,77.8,Checkups
Chesterfield,51041101013,3754,Annual Checkup,79.9,Checkups
Charlotte,51037930101,3003,Annual Checkup,81.4,Checkups
Bland,51021040200,2624,Annual Checkup,80.5,Checkups
Alleghany,51005080202,2381,Annual Checkup,80.9,Checkups
Chesterfield,51041100928,7858,Annual Checkup,80.3,Checkups
Amelia,51007930101,2634,Annual Checkup,80.5,Checkups
Clarke,51043010101,4595,Annual Checkup,80.4,Checkups
Arlington,51013101803,4722,Annual Checkup,72.9,Checkups
Arlington,51013103601,2612,Annual Checkup,77.0,Checkups
Caroline,51033030600,3394,Annual Checkup,79.8,Checkups
Fairfax,51059415402,2801,Annual Checkup,81.2,Checkups
Arlington,51013101407,3812,Annual Checkup,71.2,Checkups
Arlington,51013103503,5102,Annual Checkup,73.5,Checkups
Albemarle,51003010100,5147,Annual Checkup,81.6,Checkups
Arlington,51013101406,3641,Annual Checkup,72.9,Checkups
Arlington,51013101502,3284,Annual Checkup,74.1,Checkups
Essex,51057950700,3912,Annual Checkup,82.6,Checkups
Albemarle,51003010702,3763,Annual Checkup,78.0,Checkups
Chesterfield,51041100910,5705,Annual Checkup,78.7,Checkups
Bedford,51019030504,2858,Annual Checkup,80.7,Checkups
Augusta,51015070603,4328,Annual Checkup,80.7,Checkups
Clarke,51043010300,2900,Annual Checkup,80.1,Checkups
Fairfax,51059420201,3732,Annual Checkup,77.9,Checkups
Brunswick,51025930201,2101,Annual Checkup,81.1,Checkups
Caroline,51033030501,4648,Annual Checkup,77.7,Checkups
Amherst,51009010402,3089,Annual Checkup,80.5,Checkups
Accomack,51001090800,3362,Annual Checkup,82.2,Checkups
Arlington,51013102001,2802,Annual Checkup,74.5,Checkups
Augusta,51015070300,6450,Annual Checkup,80.0,Checkups
Bedford,51019050102,3209,Annual Checkup,80.3,Checkups
Alleghany,51005080100,3198,Annual Checkup,81.0,Checkups
Fairfax,51059415800,5047,Annual Checkup,79.5,Checkups
Chesterfield,51041100816,4583,Annual Checkup,77.5,Checkups
Chesterfield,51041100701,6209,Annual Checkup,79.5,Checkups
Campbell,51031020700,3378,Annual Checkup,81.7,Checkups
Albemarle,51003011302,5151,Annual Checkup,72.3,Checkups
Chesterfield,51041100211,3419,Annual Checkup,78.9,Checkups
Buchanan,51027010700,3377,Annual Checkup,80.3,Checkups
Arlington,51013102600,3688,Annual Checkup,75.8,Checkups
Brunswick,51025930203,3848,Annual Checkup,83.3,Checkups
Dinwiddie,51053840601,3662,Annual Checkup,81.7,Checkups
Arlington,51013100700,5827,Annual Checkup,76.9,Checkups
Chesterfield,51041100300,2848,Annual Checkup,76.1,Checkups
Accomack,51001090700,5220,Annual Checkup,83.2,Checkups
Carroll,51035080604,1691,Annual Checkup,79.7,Checkups
Chesterfield,51041100600,4377,Annual Checkup,76.2,Checkups
Fairfax,51059416000,5569,Annual Checkup,78.3,Checkups
Arlington,51013101603,4482,Annual Checkup,73.6,Checkups
Chesterfield,51041100409,7250,Annual Checkup,78.7,Checkups
Chesterfield,51041100819,7197,Annual Checkup,79.9,Checkups
Chesterfield,51041100934,6995,Annual Checkup,76.8,Checkups
Albemarle,51003010301,1939,Annual Checkup,78.2,Checkups
Chesterfield,51041100932,3521,Annual Checkup,78.3,Checkups
Dickenson,51051040400,2730,Annual Checkup,79.1,Checkups
Arlington,51013103602,1241,Annual Checkup,71.6,Checkups
Chesterfield,51041100812,5908,Annual Checkup,80.0,Checkups
Chesterfield,51041100924,5379,Annual Checkup,80.2,Checkups
Bath,51017920102,2097,Annual Checkup,80.6,Checkups
Culpeper,51047930502,6267,Annual Checkup,78.1,Checkups
Botetourt,51023040303,4193,Annual Checkup,82.7,Checkups
Fairfax,51059415300,3908,Annual Checkup,78.0,Checkups
Albemarle,51003010604,4029,Annual Checkup,81.3,Checkups
Bath,51017920101,2112,Annual Checkup,80.7,Checkups
Chesterfield,51041100106,3138,Annual Checkup,79.6,Checkups
Chesterfield,51041101004,5020,Annual Checkup,79.3,Checkups
Chesterfield,51041100907,3145,Annual Checkup,81.2,Checkups
Fairfax,51059420502,2516,Annual Checkup,77.7,Checkups
Accomack,51001090401,2455,Annual Checkup,79.0,Checkups
Arlington,51013103501,3535,Annual Checkup,74.5,Checkups
Caroline,51033030400,1854,Annual Checkup,79.2,Checkups
Fairfax,51059416100,4129,Annual Checkup,81.2,Checkups
Chesterfield,51041100912,6247,Annual Checkup,80.0,Checkups
Augusta,51015070602,3646,Annual Checkup,78.8,Checkups
Essex,51057950600,3527,Annual Checkup,82.5,Checkups
Albemarle,51003010901,1746,Annual Checkup,71.4,Checkups
Botetourt,51023040501,6360,Annual Checkup,80.4,Checkups
Carroll,51035080300,4689,Annual Checkup,79.7,Checkups
Augusta,51015070802,4036,Annual Checkup,80.2,Checkups
Fairfax,51059420203,2718,Annual Checkup,78.9,Checkups
Amelia,51007930102,4475,Annual Checkup,80.1,Checkups
Arlington,51013101703,2352,Annual Checkup,74.9,Checkups
Albemarle,51003010701,2862,Annual Checkup,77.8,Checkups
Alleghany,51005080201,2790,Annual Checkup,80.7,Checkups
Chesterfield,51041101015,6480,Annual Checkup,81.3,Checkups
Chesterfield,51041100210,2243,Annual Checkup,76.1,Checkups
Chesterfield,51041100817,3440,Annual Checkup,79.5,Checkups
Chesterfield,51041100922,5308,Annual Checkup,78.5,Checkups
Charles City,51036600100,2583,Annual Checkup,82.2,Checkups
Arlington,51013101409,2120,Annual Checkup,76.7,Checkups
Chesterfield,51041100921,6425,Annual Checkup,79.0,Checkups
Augusta,51015070400,5436,Annual Checkup,78.9,Checkups
Albemarle,51003010302,1450,Annual Checkup,80.3,Checkups
Amherst,51009010504,4183,Annual Checkup,79.9,Checkups
Amherst,51009010201,4398,Annual Checkup,80.5,Checkups
Culpeper,51047930202,6283,Annual Checkup,79.4,Checkups
Fairfax,51059420800,3640,Annual Checkup,76.4,Checkups
Botetourt,51023040301,3002,Annual Checkup,80.4,Checkups
Campbell,51031020600,3604,Annual Checkup,81.7,Checkups
Dinwiddie,51053840400,798,Annual Checkup,79.6,Checkups
Carroll,51035080200,4724,Annual Checkup,79.1,Checkups
Chesterfield,51041100821,4721,Annual Checkup,81.8,Checkups
Fairfax,51059420202,1943,Annual Checkup,75.4,Checkups
Caroline,51033030300,3383,Annual Checkup,80.0,Checkups
